12.99,36.963542461395264,nan,0.8542857142857143,nan,0.0,nan,nan,nan,nan,nan,0.1036591686534674,0.0,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.47,82.86674499511719,nan,0.0,0.0,nan,0.12498436131615163,nan,nan,nan,nan,0.27386306846576713,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.548
23.34,25.07351064682007,0.0,0.22448979591836735,0.18839938011954838,0.43802816901408453,nan,nan,0.10256410256410256,0.1111111111111111,0.583554376657825,0.1838006230529595,0.0,0.011,0.851,0.622,0.0,0.0,0.232,0.001,0.44,0.177
30.52,21.68605327606201,0.36,0.7236180904522613,nan,0.15384615384615385,0.17111315547378106,nan,0.20982986767485823,0.2833333333333333,0.6101522842639594,0.40464708461201226,0.036,0.432,0.0,0.002,0.93,0.0,0.111,0.017,0.601,0.923
43.68,17.52811086177826,0.3056405771753389,0.6115107913669064,0.32362459546925565,0.6975476839237057,nan,nan,0.25120772946859904,0.3548387096774194,0.5341176470588235,0.37198795180722893,0.699,0.935,0.2,0.512,0.0,0.0,0.104,0.022,0.908,0.988
36.08,20.025701761245728,0.7368421052631579,0.7350427350427351,0.45,0.6182965299684543,0.18907305095150398,nan,0.2159827213822894,0.676056338028169,0.5067873303167421,0.49626651349798967,0.014,0.516,0.018,0.196,0.924,0.0,0.1,0.192,0.784,0.864
49.26,19.87747824192047,0.3714574898785425,0.7663265306122449,0.3153846153846154,0.6309794988610479,nan,nan,0.2159090909090909,0.6751824817518248,0.6013422818791946,0.5635294117647058,0.734,0.751,0.041,0.554,0.0,0.0,0.437,0.555,0.896,0.958
50.74,15.007527709007263,0.7916666666666666,0.6433566433566433,1.0,0.7248603351955307,0.4047878128400435,0.8,0.18664140217906205,0.601644245142003,0.6172661870503597,0.7061900610287707,0.019,0.92,0.001,0.519,0.744,0.004,0.394,0.805,0.858,0.81
43.82,23.183117151260376,0.8854166666666666,0.6991290577988916,0.23289473684210527,0.6843783209351754,0.0,nan,0.24888888888888888,0.6390728476821192,0.3037177063642092,0.5911994322214337,0.085,0.883,0.531,0.644,0.0,0.0,0.056,0.386,0.964,0.833
51.72,15.058742761611938,0.3291196388261851,0.7650214592274678,0.35514018691588783,0.554569653948536,0.40025412960609913,0.5,0.2328042328042328,0.5663474692202463,0.7754010695187166,0.6466528640441684,0.729,0.713,0.038,0.625,0.63,0.004,0.088,0.828,0.58,0.937
56.7,12.654398202896118,0.752112676056338,0.7690782953419227,0.3833887043189369,0.5008828722778105,0.4696629213483146,0.33691756272401435,0.18757612667478685,0.6464419475655431,0.7082251082251082,0.761996161228407,0.534,0.776,0.577,0.851,0.209,0.094,0.154,0.863,0.818,0.794
48.02,15.179328322410583,0.8211091234347049,0.7918454935622318,nan,0.5518316445830086,0.2916666666666667,0.5714285714285714,0.20596510973550927,0.4611298889425398,0.7662790697674419,0.7605633802816901,0.459,0.738,0.0,0.708,0.007,0.004,0.732,0.955,0.659,0.54
52.34,15.423966407775879,0.6454741379310345,0.7889207258834766,0.3055303717135086,0.6130306021717671,0.3253012048192771,0.8333333333333334,0.18514285714285714,0.5239955357142857,0.8039867109634552,0.7729211087420043,0.599,0.826,0.674,0.621,0.189,0.015,0.162,0.939,0.484,0.725
46.39,22.987633228302002,0.8425655976676385,0.7528384279475983,nan,0.7149122807017544,0.2706812652068126,0.0,0.19536423841059603,0.6132315521628499,0.6246418338108882,0.4741670690487687,0.289,0.862,0.0,0.326,0.89,0.0,0.177,0.241,0.872,0.982
52.31,15.003078699111938,0.42184671092335546,0.7406483790523691,0.39753086419753086,0.7142857142857143,0.0,0.6153846153846154,0.22017109410175598,0.6765873015873016,0.7026359143327842,0.6035980148883374,0.699,0.891,0.161,0.475,0.0,0.008,0.489,0.682,0.853,0.973
55.19,15.055790185928345,0.8241965973534972,0.7560538116591928,0.5294117647058824,0.540595399188092,0.3566907775768535,0.5595238095238095,0.18426501035196688,0.5488810365135454,0.7686196623634558,0.796420581655481,0.436,0.843,0.009,0.799,0.789,0.047,0.178,0.932,0.774,0.712
50.97,17.747575640678406,0.7672131147540984,0.7036163522012578,0.25993668659866337,0.7288629737609329,0.0,0.4397590361445783,0.2055984555984556,0.6844396082698585,0.6859437751004016,0.6286836935166994,0.234,0.895,0.739,0.5,0.0,0.073,0.213,0.629,0.854,0.96
55.49,17.962485551834106,0.5476387738193869,0.7375827814569537,nan,0.7128279883381924,0.3655961284645842,0.3778337531486146,0.2034139402560455,0.6757990867579908,0.6862284820031299,0.6669096209912536,0.661,0.891,0.0,0.489,0.831,0.15,0.143,0.592,0.877,0.915
54.9,26.390172719955444,0.5283171521035599,0.7273462783171522,0.3179381443298969,0.7010309278350515,0.0,0.6666666666666666,0.2025931928687196,0.6325878594249201,0.7551789077212806,0.6511627906976745,0.653,0.899,0.771,0.476,0.0,0.02,0.125,0.792,0.802,0.952
49.95,33.410388469696045,0.8192307692307692,0.776566757493188,nan,0.725925925925926,0.3192660550458716,0.5,0.19711236660389203,0.689041095890411,0.7072368421052632,0.5385456533624932,0.213,0.855,0.0,0.392,0.87,0.003,0.314,0.503,0.86,0.985
54.84,17.676881194114685,0.5032206119162641,0.7892335766423357,0.37798036465638146,0.5978358881875564,0.5766129032258065,0.4375,0.17905102954341987,0.6993392070484582,0.7032967032967034,0.5891238670694864,0.625,0.865,0.539,0.663,0.143,0.007,0.2,0.635,0.832,0.975
56.85,16.160728454589844,0.7193211488250653,0.791588785046729,0.40635179153094464,0.6226244343891403,0.45234899328859063,0.4444444444444444,0.1783783783783784,0.6646234676007006,0.5751128304319794,0.7181528662420382,0.551,0.847,0.499,0.688,0.337,0.012,0.198,0.759,0.892,0.902
