16.7,22.949559211730957,0.1514670896114195,0.5947187141216992,0.11274509803921569,0.07314974182444062,0.0,nan,nan,0.42857142857142855,0.004405286343612335,nan,0.955,0.518,0.023,0.17,0.0,0.0,0.0,0.003,0.001,0.0
13.32,22.702367544174194,0.10730765103551883,nan,1.0,nan,nan,0.4669887278582931,nan,0.7391304347826086,0.0,0.6764705882352942,1.0,0.0,0.002,0.0,0.0,0.29,0.0,0.017,0.0,0.023
35.8,22.160027980804443,0.6084656084656085,nan,nan,0.37752161383285304,0.35589941972920697,0.39655172413793105,nan,nan,0.20029027576197386,0.4489187173750932,0.46,0.0,0.0,0.655,0.368,0.943,0.0,0.0,0.552,0.602
37.01,20.934146642684937,0.20206489675516223,0.9614197530864198,0.38202247191011235,0.7300380228136882,nan,0.4217948717948718,nan,0.7866108786610879,0.4286567164179104,nan,0.959,0.623,0.034,0.192,0.0,0.987,0.0,0.188,0.718,0.0
30.72,19.359375953674316,nan,0.783457249070632,nan,0.9051094890510949,nan,0.965,0.1392387349566191,0.6363636363636364,nan,nan,0.0,0.843,0.0,0.124,0.0,0.193,0.995,0.917,0.0,0.0
50.56,17.233807802200317,0.49868593955321944,0.9366952789699571,nan,0.6802168021680217,0.5,0.789423984891407,nan,0.769098712446352,0.22264419653453596,nan,0.759,0.873,0.0,0.753,0.001,0.836,0.0,0.896,0.938,0.0
55.19,15.494134664535522,0.7665615141955836,0.5840438489646772,0.4444444444444444,0.6428571428571429,0.562152133580705,0.4905,0.2581554571083367,0.7788235294117647,0.7497593840230992,0.9737302977232924,0.486,0.959,0.008,0.144,0.303,0.981,0.641,0.662,0.779,0.556
60.51,14.012508392333984,0.3861262014208107,0.6115485564304461,nan,0.8333333333333334,0.587248322147651,0.8415132924335378,0.30144927536231886,0.8366733466933868,0.6937689969604863,0.8291592128801432,0.924,0.932,0.0,0.035,0.35,0.823,0.312,0.835,0.913,0.927
51.61,14.426883339881897,0.8144329896907216,0.6008997429305912,nan,1.0,nan,0.9439890710382514,0.21285403050108934,0.7025222551928784,0.9099307159353349,0.917283950617284,0.079,0.935,0.0,0.001,0.0,0.691,0.977,0.947,0.788,0.743
49.19,13.887459635734558,0.6481113320079522,0.6040738383195416,0.41993355481727573,nan,0.7272727272727273,0.9545454545454546,0.3915211970074813,0.8346228239845261,0.26090425531914896,0.9745762711864406,0.652,0.949,0.632,0.0,0.024,0.546,0.157,0.863,0.981,0.115
